子订单编号,下单时间,商品编码,商品标题,类目名称,购买数量,买家实付金额,退款状态,退款金额,订单当前状态,收货省份
TB20260910058,2026-09-08 09:22:34,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,湖北省
TB20260910059,2026-09-08 22:45:09,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910060,2026/09/08 16:20:54,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,河南省
TB20260910061,2026/09/08 08:31:54,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,河南省
TB20260910062,2026/09/08 08:33:12,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,湖北省
TB20260910063,2026-09-08 17:14:25,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,无退款,0.00,交易成功,北京市
TB20260910064,2026/09/08 19:44:29,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,福建省
TB20260910065,2026-09-08 14:13:47,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,广东省
TB20260910066,2026-09-09 17:00:45,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,江苏省
TB20260910067,2026-09-09 11:55:00,SKU-004,宽松廓形针织开衫,毛织,1,219.00  ,无退款,0.00,交易成功,湖北省
TB20260910068,2026-09-09 23:04:36,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,交易成功,上海市
TB20260910069,2026/09/09 15:49:33,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910070,2026-09-09 11:48:13,SKU-004,宽松廓形针织开衫,毛织,1,219.00  ,已全额退款,219.00,交易成功,浙江省
TB20260910071,2026/09/09 23:18:02,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,山东省
TB20260910072,2026-09-09 14:27:07,SKU-006,蕾丝打底吊带背心,内搭,1,79.00  ,无退款,0.00,交易成功,江苏省
TB20260910073,2026-09-09 17:28:07,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,湖北省
TB20260910074,2026-09-09 21:47:20,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,已关闭(买家未付款),河南省
TB20260910075,2026-09-09 16:36:02,SKU-004,宽松廓形针织开衫,毛织,2,438.00,无退款,0.00,交易成功,河南省
TB20260910076,2026-09-09 10:30:22,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,湖北省
TB20260910077,2026/09/09 09:29:05,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,浙江省
TB20260910078,2026-09-09 21:03:12,SKU-004,宽松廓形针织开衫,毛织,1,219.00  ,无退款,0.00,交易成功,山东省
TB20260910079,2026-09-09 22:56:44,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910080,2026-09-09 21:05:14,SKU-002,垂感显瘦西装阔腿裤,裤装,2, ¥398.00 ,无退款,0.00,交易成功,江苏省
TB20260910081,2026-09-09 16:26:53,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,交易成功,上海市
TB20260910082,2026/09/09 12:55:04,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,浙江省
TB20260910083,2026-09-09 23:55:09,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,四川省
TB20260910084,2026/09/09 15:36:24,SKU-008,优雅收腰风衣外套,外套,1,559.00,仅退款(已到账),559.00,交易成功,北京市
TB20260910085,2026/09/09 12:31:02,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,湖北省
TB20260910086,2026-09-09 08:46:09,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,四川省
TB20260910087,2026-09-09 10:54:21,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,湖北省
TB20260910088,2026-09-09 10:15:40,SKU-008,优雅收腰风衣外套,外套,2, ¥1118.00 ,无退款,0.00,交易成功,广东省
TB20260910089,2026-09-09 11:28:10,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,已全额退款,79.00,交易成功,江苏省
TB20260910090,2026/09/09 13:10:11,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910091,2026/09/09 22:16:42,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910092,2026-09-09 17:40:27,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,广东省
TB20260910093,2026/09/09 17:44:18,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,浙江省
TB20260910094,2026/09/09 17:49:51,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,江苏省
TB20260910095,2026-09-09 09:19:50,SKU-004,宽松廓形针织开衫,毛织,1, ¥219.00 ,无退款,0.00,交易成功,山东省
TB20260910096,2026-09-09 14:08:50,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,山东省
TB20260910097,2026/09/09 17:47:55,SKU-009,经典小香风编织外套,外套,1, ¥439.00 ,无退款,0.00,交易成功,上海市
TB20260910098,2026-09-09 20:54:51,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,交易成功,四川省
TB20260910099,2026-09-09 20:52:40,SKU-005,羊毛混纺双面呢大衣,外套,1, ¥899.00 ,无退款,0.00,交易成功,福建省
TB20260910100,2026-09-09 10:40:52,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,浙江省
TB20260910101,2026/09/09 23:07:06,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,福建省
TB20260910102,2026-09-09 12:56:26,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,四川省
TB20260910103,2026/09/09 15:54:23,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,北京市
TB20260910104,2026/09/09 22:05:42,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,四川省
TB20260910105,2026-09-09 14:04:53,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910106,2026-09-09 16:54:09,SKU-006,蕾丝打底吊带背心,内搭,1, ¥79.00 ,无退款,0.00,交易成功,浙江省
TB20260910107,2026/09/09 15:37:20,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910108,2026/09/09 11:28:32,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,山东省
TB20260910109,2026-09-09 09:30:54,SKU-003,极简纯色真丝衬衫,上衣,1,369.00  ,无退款,0.00,交易成功,广东省
TB20260910110,2026-09-09 12:17:39,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,湖北省
TB20260910111,2026-09-09 11:54:41,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,上海市
TB20260910112,2026/09/09 20:26:46,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,湖北省
TB20260910113,2026-09-09 10:27:06,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,福建省
TB20260910114,2026-09-09 21:22:55,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,河南省
TB20260910115,2026-09-09 14:09:42,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,交易成功,山东省
TB20260910116,2026-09-09 08:38:59,SKU-004,宽松廓形针织开衫,毛织,1,219.00,售后退款成功,219.00,交易成功,四川省
TB20260910117,2026-09-10 20:04:09,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910118,2026-09-10 18:49:36,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,交易成功,广东省
TB20260910119,2026-09-10 23:38:28,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910120,2026-09-10 09:14:25,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,山东省
TB20260910121,2026/09/10 23:47:27,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,交易成功,四川省
TB20260910122,2026-09-10 09:27:01,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,北京市
TB20260910123,2026-09-10 18:10:51,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,广东省
TB20260910124,2026/09/10 10:25:55,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910125,2026-09-10 19:22:46,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,交易成功,山东省
TB20260910126,2026-09-10 10:11:49,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910127,2026/09/10 18:55:40,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,河南省
TB20260910128,2026/09/10 17:29:28,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910129,2026-09-10 22:37:35,SKU-004,宽松廓形针织开衫,毛织,1,219.00,仅退款(已到账),219.00,交易成功,湖北省
TB20260910130,2026-09-10 22:06:51,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,上海市
TB20260910131,2026-09-10 13:23:23,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00  ,无退款,0.00,交易成功,四川省
TB20260910132,2026-09-10 20:18:16,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,交易成功,河南省
TB20260910133,2026-09-10 17:41:44,SKU-005,羊毛混纺双面呢大衣,外套,1, ¥899.00 ,无退款,0.00,交易成功,福建省
TB20260910134,2026-09-10 12:42:44,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,北京市
TB20260910135,2026/09/10 17:11:13,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,无退款,0.00,交易成功,山东省
TB20260910136,2026-09-10 09:42:21,SKU-007,高腰微喇牛仔裤,裤装,2,378.00,无退款,0.00,交易成功,河南省
TB20260910137,2026/09/10 22:02:26,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,湖北省
TB20260910138,2026/09/10 23:57:53,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,北京市
TB20260910139,2026-09-10 13:52:12,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,福建省
TB20260910140,2026-09-10 11:18:05,SKU-009,经典小香风编织外套,外套,1, ¥439.00 ,无退款,0.00,交易成功,北京市
TB20260910141,2026-09-10 22:56:22,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910142,2026-09-10 11:53:45,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,交易成功,江苏省
TB20260910143,2026/09/10 08:57:05,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,北京市
TB20260910144,2026/09/10 17:07:03,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,湖北省
TB20260910145,2026/09/10 15:45:09,SKU-004,宽松廓形针织开衫,毛织,2,438.00,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910146,2026-09-10 19:04:33,SKU-005,羊毛混纺双面呢大衣,外套,2, ¥1798.00 ,无退款,0.00,交易成功,湖北省
TB20260910147,2026/09/10 19:16:47,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910148,2026/09/10 09:22:34,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,湖北省
TB20260910149,2026-09-10 10:45:49,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,已关闭(买家未付款),浙江省
TB20260910150,2026-09-10 20:52:34,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),浙江省
TB20260910151,2026-09-10 11:51:23,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,交易成功,江苏省
TB20260910152,2026-09-10 16:51:05,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,四川省
TB20260910153,2026-09-10 17:19:28,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,交易成功,四川省
TB20260910154,2026-09-10 09:04:42,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,江苏省
TB20260910155,2026/09/10 22:02:08,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,河南省
TB20260910156,2026-09-10 19:23:28,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,上海市
TB20260910157,2026/09/10 13:31:33,SKU-010,基础款莫代尔打底衫,内搭,2,178.00,无退款,0.00,交易成功,河南省
TB20260910158,2026/09/10 23:12:07,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,四川省
TB20260910159,2026-09-10 17:57:19,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,福建省
TB20260910160,2026-09-10 12:15:50,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910161,2026-09-10 17:25:45,SKU-004,宽松廓形针织开衫,毛织,2,438.00  ,无退款,0.00,交易成功,四川省
TB20260910162,2026-09-10 19:08:56,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,福建省
TB20260910163,2026/09/10 11:33:09,SKU-009,经典小香风编织外套,外套,2,878.00,无退款,0.00,交易成功,福建省
TB20260910164,2026-09-10 16:12:40,SKU-008,优雅收腰风衣外套,外套,1,559.00  ,无退款,0.00,交易成功,江苏省
TB20260910165,2026-09-10 13:42:39,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,浙江省
TB20260910166,2026-09-10 16:41:13,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910167,2026-09-10 15:51:51,SKU-004,宽松廓形针织开衫,毛织,1,219.00,已全额退款,219.00,交易成功,湖北省
TB20260910168,2026/09/10 18:55:45,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910169,2026-09-10 22:07:17,SKU-004,宽松廓形针织开衫,毛织,1,219.00,售后退款成功,219.00,交易成功,江苏省
TB20260910170,2026/09/10 18:12:48,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,广东省
TB20260910171,2026/09/10 15:13:37,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,湖北省
TB20260910172,2026-09-10 11:27:08,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,交易成功,河南省
TB20260910173,2026-09-11 10:24:32,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910174,2026-09-11 18:35:23,SKU-010,基础款莫代尔打底衫,内搭,1,89.00  ,无退款,0.00,交易成功,江苏省
TB20260910175,2026-09-11 22:09:38,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,河南省
TB20260910176,2026-09-11 18:32:53,SKU-006,蕾丝打底吊带背心,内搭,1,79.00  ,无退款,0.00,交易成功,四川省
TB20260910177,2026-09-11 17:50:57,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,售后退款成功,899.00,交易成功,河南省
TB20260910178,2026-09-11 23:10:33,SKU-004,宽松廓形针织开衫,毛织,1, ¥219.00 ,无退款,0.00,交易成功,上海市
TB20260910179,2026-09-11 11:12:01,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910180,2026-09-11 09:45:08,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,江苏省
TB20260910181,2026-09-11 19:43:49,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,上海市
TB20260910182,2026-09-11 17:49:18,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910183,2026-09-11 20:57:25,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,广东省
TB20260910184,2026/09/11 16:47:30,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,广东省
TB20260910185,2026-09-11 15:03:42,SKU-004,宽松廓形针织开衫,毛织,1,219.00,已全额退款,219.00,交易成功,广东省
TB20260910186,2026-09-11 13:26:41,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,四川省
TB20260910187,2026/09/11 10:41:36,SKU-002,垂感显瘦西装阔腿裤,裤装,2, ¥398.00 ,无退款,0.00,交易成功,江苏省
TB20260910188,2026-09-11 09:53:25,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,浙江省
TB20260910189,2026/09/11 11:59:21,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910190,2026-09-11 11:21:10,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,交易成功,四川省
TB20260910191,2026-09-11 14:11:39,SKU-006,蕾丝打底吊带背心,内搭,1,79.00  ,无退款,0.00,交易成功,广东省
TB20260910192,2026/09/11 18:59:15,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910193,2026/09/11 19:44:15,SKU-006,蕾丝打底吊带背心,内搭,2,158.00,无退款,0.00,交易成功,山东省
TB20260910194,2026/09/11 17:23:39,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,四川省
TB20260910195,2026-09-11 23:48:34,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,广东省
TB20260910196,2026-09-11 19:04:58,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,江苏省
TB20260910197,2026/09/11 22:07:43,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910198,2026-09-11 09:35:29,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,售后退款成功,289.00,交易成功,河南省
TB20260910199,2026-09-11 10:34:03,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,北京市
TB20260910200,2026/09/11 21:23:57,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910201,2026/09/11 11:11:34,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910202,2026-09-11 21:34:24,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,广东省
